measure_id,resstock_version,resstock_package,folder_name,measure_info_file,upgrade_name,name,description,parquet_url,csv_url
0,2024_1,2024.1.0,2024_1_0,,,Baseline,Baseline Energy Usage,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/parquet/Baseline/baseline_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/csv/Baseline/baseline_metadata_and_annual_results.csv
1,2022_1,2022.1.1,2022_1_1,measure_logic/2022/EUSS-project-file.yml,Basic enclosure,Basic Enclosure Package,"Attic floor insulation, general air sealing, duct sealing, and drill-and-fill insulation into uninsulated wood walls",https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade01_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade01_metadata_and_annual_results.csv
2,2022_1,2022.1.2,2022_1_2,measure_logic/2022/EUSS-project-file.yml,Enhanced enclosure,Enhanced Enclosure Package,"Measure 1 + interior insulation to foundation walls, conditioned basements and crawlspaces, insulate finished attics",https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade02_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade02_metadata_and_annual_results.csv
3,2022_1,2022.1.4,2022_1_4,measure_logic/2022/EUSS-project-file.yml,"Heat pumps, high-efficiency, electric backup","Heat Pumps, High-Efficiency, Electric Backup",Install high efficiency heat pump for heating,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade04_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade04_metadata_and_annual_results.csv
4,2022_1,2022.1.6,2022_1_6,measure_logic/2022/EUSS-project-file.yml,Heat pump water heaters,Heat Pump Water Heaters,Replace water heater with heat pump water heater,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade06_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade06_metadata_and_annual_results.csv
5,2022_1,2022.1.8,2022_1_8,measure_logic/2022/EUSS-project-file.yml,"Whole-home electrification, high efficiency","Whole-Home Electrification, High Efficiency","Convert all non-electric equipment to high efficiency electric - heat pump, heat pump water heater, heat pump dryer, electric range",https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade08_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade08_metadata_and_annual_results.csv
6,2022_1,2022.1.10,2022_1_10,measure_logic/2022/EUSS-project-file.yml,"Whole-home electrification, high efficiency + enhanced enclosure package (packages 2 & 8)","Whole-Home Electrification, High Efficiency + Enhanced Enclosure Package",Measures 2 and 5,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/parquet/upgrade10_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2022/resstock_tmy3_release_1/metadata_and_annual_results/national/csv/upgrade10_metadata_and_annual_results.csv
7,2024_1,2024.1.2.02,2024_1_2_02,measure_logic/2024/fact_sheets_category_2.yml,EnergyStar Windows,"Windows, ENERGY STAR",Replace existing windows with ENERGY STAR windows for any less-efficient windows.,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/parquet/Group%2002:%20Envelope/upgrade2.02_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/csv/Group%2002:%20Envelope/upgrade2.02_metadata_and_annual_results.csv
8,2024_1,2024.1.3.07,2024_1_3_07,measure_logic/2024/fact_sheets_category_3.yml,High-Efficacy LED Lighting,"Lighting, Universal LEDs",Replaces existing incandescent or CFL lighting with LED lighting,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/parquet/Group%2003:%20Appliances;%20Pools;%20Lighting/upgrade3.07_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/csv/Group%2003:%20Appliances;%20Pools;%20Lighting/upgrade3.07_metadata_and_annual_results.csv
9,2024_1,2024.1.4.05,2024_1_4_05,measure_logic/2024/fact_sheets_category_4.yml,96% AFUE Natural Gas Furnace - existing Natural Gas,Replace Natural Gas Furnace with 96% Efficiency,Replace existing natural gas furnace with high-efficiency natural gas furnace,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/parquet/Group%2004:%20Furnace;%20Boiler;%20Air%20Conditioner;%20HPWH/upgrade4.05_metadata_and_annual_results.parquet,https://oedi-data-lake.s3.amazonaws.com/nrel-pds-building-stock/end-use-load-profiles-for-us-building-stock/2024/resstock_dataset_2024.1/resstock_tmy3/metadata_and_annual_results/national/csv/Group%2004:%20Furnace;%20Boiler;%20Air%20Conditioner;%20HPWH/upgrade4.05_metadata_and_annual_results.csv
